"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2344  ","華邦電          ","44,174,786","30,116,700","14,058,086","0","0","0","44,174,786","30,116,700","14,058,086",
" ","3231  ","緯創            ","42,896,597","30,845,493","12,051,104","0","0","0","42,896,597","30,845,493","12,051,104",
" ","6116  ","彩晶            ","16,147,000","7,434,000","8,713,000","0","0","0","16,147,000","7,434,000","8,713,000",
" ","2886  ","兆豐金          ","13,549,000","6,538,400","7,010,600","0","0","0","13,549,000","6,538,400","7,010,600",
" ",="00715L","期街口布蘭特正2 ","12,494,000","6,362,000","6,132,000","0","0","0","12,494,000","6,362,000","6,132,000",
" ","2801  ","彰銀            ","8,730,000","3,297,000","5,433,000","0","0","0","8,730,000","3,297,000","5,433,000",
" ",="00712 ","復華富時不動產  ","6,774,200","1,529,657","5,244,543","0","0","0","6,774,200","1,529,657","5,244,543",
" ","2371  ","大同            ","14,448,000","9,684,843","4,763,157","0","0","0","14,448,000","9,684,843","4,763,157",
" ","4906  ","正文            ","6,358,000","1,656,000","4,702,000","0","0","0","6,358,000","1,656,000","4,702,000",
" ","3704  ","合勤控          ","6,824,000","2,165,000","4,659,000","0","0","0","6,824,000","2,165,000","4,659,000",
" ","2324  ","仁寶            ","30,021,000","26,567,428","3,453,572","0","0","0","30,021,000","26,567,428","3,453,572",
" ","2885  ","元大金          ","11,448,721","8,033,290","3,415,431","0","0","0","11,448,721","8,033,290","3,415,431",
" ","3025  ","星通            ","7,755,000","4,385,000","3,370,000","0","0","0","7,755,000","4,385,000","3,370,000",
" ","1905  ","華紙            ","5,624,000","2,350,911","3,273,089","0","0","0","5,624,000","2,350,911","3,273,089",
" ","2353  ","宏碁            ","11,887,174","8,628,090","3,259,084","0","0","0","11,887,174","8,628,090","3,259,084",
" ","2504  ","國產            ","4,206,000","960,000","3,246,000","0","0","0","4,206,000","960,000","3,246,000",
" ","1513  ","中興電          ","6,991,187","3,966,000","3,025,187","0","0","0","6,991,187","3,966,000","3,025,187",
" ",="00893 ","國泰智能電動車  ","3,307,000","303,000","3,004,000","0","0","0","3,307,000","303,000","3,004,000",
" ","2331  ","精英            ","5,292,000","2,289,000","3,003,000","0","0","0","5,292,000","2,289,000","3,003,000",
" ",="00878 ","國泰永續高股息  ","4,476,387","1,540,200","2,936,187","0","0","0","4,476,387","1,540,200","2,936,187",
" ",="031975","長榮康和28購01  ","2,903,000","0","2,903,000","0","0","0","2,903,000","0","2,903,000",
" ","3715  ","定穎投控        ","4,295,000","1,463,000","2,832,000","0","0","0","4,295,000","1,463,000","2,832,000",
" ","1904  ","正隆            ","3,812,000","993,532","2,818,468","0","0","0","3,812,000","993,532","2,818,468",
" ","3013  ","晟銘電          ","4,955,000","2,226,000","2,729,000","0","0","0","4,955,000","2,226,000","2,729,000",
" ","2402  ","毅嘉            ","2,998,000","309,000","2,689,000","0","0","0","2,998,000","309,000","2,689,000",
" ","2376  ","技嘉            ","7,473,035","5,186,278","2,286,757","0","0","0","7,473,035","5,186,278","2,286,757",
" ","2890  ","永豐金          ","10,360,691","8,111,860","2,248,831","0","0","0","10,360,691","8,111,860","2,248,831",
" ","1909  ","榮成            ","3,035,000","851,659","2,183,341","0","0","0","3,035,000","851,659","2,183,341",
" ","2515  ","中工            ","3,357,200","1,195,000","2,162,200","0","0","0","3,357,200","1,195,000","2,162,200",
" ","2208  ","台船            ","2,788,000","736,000","2,052,000","0","0","0","2,788,000","736,000","2,052,000",
" ","6285  ","啟碁            ","5,978,001","4,052,000","1,926,001","0","0","0","5,978,001","4,052,000","1,926,001",
" ","3032  ","偉訓            ","2,640,000","729,000","1,911,000","0","0","0","2,640,000","729,000","1,911,000",
" ","2704  ","國賓            ","2,049,000","149,000","1,900,000","0","0","0","2,049,000","149,000","1,900,000",
" ","2489  ","瑞軒            ","2,871,000","1,008,000","1,863,000","0","0","0","2,871,000","1,008,000","1,863,000",
" ","1460  ","宏遠            ","2,305,000","455,000","1,850,000","0","0","0","2,305,000","455,000","1,850,000",
" ","4164  ","承業醫          ","3,294,000","1,476,000","1,818,000","0","0","0","3,294,000","1,476,000","1,818,000",
" ","1514  ","亞力            ","2,994,000","1,287,000","1,707,000","0","0","0","2,994,000","1,287,000","1,707,000",
" ","2421  ","建準            ","2,596,000","961,000","1,635,000","0","0","0","2,596,000","961,000","1,635,000",
" ",="0056  ","元大高股息      ","3,944,546","2,380,000","1,564,546","0","0","0","3,944,546","2,380,000","1,564,546",
" ","6112  ","邁達特          ","2,108,000","604,000","1,504,000","0","0","0","2,108,000","604,000","1,504,000",
" ",="086308","長榮統一27購04  ","1,497,000","0","1,497,000","0","0","0","1,497,000","0","1,497,000",
" ","3037  ","欣興            ","7,231,880","5,735,936","1,495,944","0","0","0","7,231,880","5,735,936","1,495,944",
" ","8150  ","南茂            ","3,985,000","2,516,000","1,469,000","0","0","0","3,985,000","2,516,000","1,469,000",
" ","4763  ","材料-KY         ","2,986,000","1,539,100","1,446,900","0","0","0","2,986,000","1,539,100","1,446,900",
" ","3380  ","明泰            ","5,695,000","4,256,999","1,438,001","0","0","0","5,695,000","4,256,999","1,438,001",
" ","2399  ","映泰            ","2,051,000","619,000","1,432,000","0","0","0","2,051,000","619,000","1,432,000",
" ","2352  ","佳世達          ","3,408,000","2,015,000","1,393,000","0","0","0","3,408,000","2,015,000","1,393,000",
